include,acct,fy,bill,appropriations,agency,administration,suboffice,suboffice_appr,program,program_appr,reference,suboffice_url,notes,summary,mitigation,adaptation,science,power,transportation,industry,agriculture,buildings,forestry,efficiency,clean_electricity,electrification,fuels,carbon_management,non_co2,land_sink,other,rd,piloting,deployment
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,Advanced Engine and Fuel Technologies,70000,DOE FY22 Budget Request Volume 3 Part 1; Page 207,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,"Subprogram to suuport R&D for engines that can utilize renewable fuels, such as renewable natural gas and hydrogen, and e-fuels, to reduce GHG emissions and achieve near-zero criteria emissions ","The Advanced Engine and Fuel Technologies subprogram  suuport R&D for engines that can utilize renewable fuels, such as renewable natural gas and hydrogen, and e-fuels.",70000,,,,70000,,,,,,,,70000,,,,,70000,,
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,Materials Technology,40000,DOE FY22 Budget Request Volume 3 Part 1; Page 207,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,Subprogram to support advancements in materials development and manufacturing to decrease lifecycle greenhouse gas emissions and manufacturing cost of electrified vehicles,"The Materials Technology subprogram supports the Vehicle Technologies Office through research, development, and deployment to increase recyclability and reduce the overall embodied energy of vehicles. ",40000,,,,20000,20000,,,,,,40000,,,,,,40000,,
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,Energy Efficient Mobility Systems,45000,DOE FY22 Budget Request Volume 3 Part 1; Page 208,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,Subprogram for RD&D to assess system-level energy productivity impacts from future mobility technologies and transportation systems and to develop clean energy mobility solutions for underserved and energy communities. ,The Energy Efficient Mobility Systems subprogram supports  RD&D to assess system-level energy productivity impacts from future mobility technologies and transportation systems and to develop clean energy mobility solutions for underserved and energy communities. ,45000,,,,45000,,,,,,,45000,,,,,,22500,22500,
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,Technology Integration,60300,DOE FY22 Budget Request Volume 3 Part 1; Page 208,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,"Subprogram to address the barriers to plug-in electric vehicle (PEV) deployment, especially in  underserved communities. Also supports projects demonstrating Smart Charging technologies and new electric transportation solutions.","The Technology Integration subprogram works to address the barriers to plug-in electric vehicle (PEV) deployment, especially in underserved communities.",60300,,,,60300,,,,,,,60300,,,,,,30150,30150,
Y,089-0321-0-1-270-0001,2021,Energy & Water,Y,DOE,EERE,Vehicle Technologies,400000,"Data, Modeling, and Analysis",6000,DOE FY22 Budget Request Volume 3 Part 1; Page 208,https://www.energy.gov/eere/vehicles/vehicle-technologies-office,Subprogram to provide critical information and analyses to prioritize and inform Vehicle Technologies research portfolio planning ,"The Data, Modeling, and Analysis subprogram of the VTO provides critical information and analyses to prioritize and inform Vehicle Technologies research portfolio planning.",6000,,,,3000,3000,,,,,,6000,,,,,,6000,,
Y,089-0321-0-1-270-0002,2021,Energy & Water,Y,DOE,EERE,Bioenergy Technologies,255000,Feedstock Technologies,40000,DOE FY22 Budget Request Volume 3 Part 1; Page 242,https://www.energy.gov/eere/bioenergy/bioenergy-technologies-office,Subprogram to conducts R&D to suppor  industry as they develop sustainable conversion-ready feedstocks for bioenergy applications to meet the needs of a decarbonized fuel and agriculture sector.,The Feedstock Technologies subprogram supports industry as  as they develop sustainable conversion-ready feedstocks for bioenergy applications to meet the needs of a decarbonized fuel and agriculture sector.,40000,,,,13333,13333,13333,,,,,,40000,,,,,40000,,
Y,089-0321-0-1-270-0002,2021,Energy & Water,Y,DOE,EERE,Bioenergy Technologies,255000,Advanced Algal Systems,40000,DOE FY22 Budget Request Volume 3 Part 1; Page 245,https://www.energy.gov/eere/bioenergy/bioenergy-technologies-office,"Supports R&D of algal biomass production and logistics systems, as well as R&D on processes to convert algal biomass to biofuels and co-products. ","The Advanced Algal Systems subprogram supports R&D of algal biomass production and logistics systems, as well as R&D on processes to convert algal biomass to biofuels and co-products.",40000,,,,,20000,20000,,,,,,40000,,,,,40000,,
Y,089-0321-0-1-270-0002,2021,Energy & Water,Y,DOE,EERE,Bioenergy Technologies,255000,Conversion Technologies,110000,DOE FY22 Budget Request Volume 3 Part 1; Page 247,https://www.energy.gov/eere/bioenergy/bioenergy-technologies-office,Pursues applied R&D to support industry efforts to demonstrate and deploy technologies for converting biomass feedstocks into “drop-in” biofuels and co-produced bioproducts.,The Conversion Technologies subprogram pursues applied R&D to support industry efforts to demonstrate and deploy technologies for converting biomass feedstocks into “drop-in” biofuels and co-produced bioproducts.,110000,,,,,110000,,,,,,,110000,,,,,36667,36667,36667
Y,089-0321-0-1-270-0002,2021,Energy & Water,Y,DOE,EERE,Bioenergy Technologies,255000,System Development and Integration,55500,DOE FY22 Budget Request Volume 3 Part 1; Page 253,https://www.energy.gov/eere/bioenergy/bioenergy-technologies-office,"Focuses on research, development, and demonstration to scale-up of integrated biorefinery systems for the production of biofuels, biopower, and bioproducts, with an emphasis on sustainable aviation fuels. ","The System Development and Integration subprogram focuses on RD&D to to scale-up of integrated biorefinery systems for the production of biofuels, biopower, and bioproducts, with an emphasis on sustainable aviation fuels. ",55500,,,,27750,27750,,,,,,,55500,,,,,18500,18500,18500
Y,089-0321-0-1-270-0002,2021,Energy & Water,Y,DOE,EERE,Bioenergy Technologies,255000,"Data, Modeling, and Analysis",9500,DOE FY22 Budget Request Volume 3 Part 1; Page 256,https://www.energy.gov/eere/bioenergy/bioenergy-technologies-office,Provide quantitative analysis to inform the BTO's decisions regarding the future direction and scope of its RD&D portfolio and where it can make the most impact.,"The Data, Modeling, and Analysis subprogram provides critical information and analyses to prioritize and inform the Bioenergy Technologies Offiice's research portfolio planning.",9500,,,2375,2375,2375,2375,,,,,,9500,,,,,9500,,
Y,089-0321-0-1-270-0003,2021,Energy & Water,Y,DOE,EERE,Hydrogen and Fuel Cell Technologies,150000,Fuel Cell Technologies,25000,DOE FY22 Budget Request Volume 3 Part 1; Page 265,https://www.energy.gov/eere/fuelcells/hydrogen-and-fuel-cell-technologies-office,"Subprogram that works on applied fuel cell component and systems RD&D to enable fuel cells to be competitive with incumbent and other advanced technologies, with a focus on transportation, stationary power, and other industry applications. ","The Fuel Cell Technologies subprogram works on applied fuel cell component and systems RD&D to enable fuel cells to be competitive with incumbent and other advanced technologies, with a focus on transportation, stationary power, and other industry applications. ",25000,,,12500,12500,,,,,,,,25000,,,,,12500,12500,
Y,089-0321-0-1-270-0003,2021,Energy & Water,Y,DOE,EERE,Hydrogen and Fuel Cell Technologies,150000,Hydrogen Technologies,71000,DOE FY22 Budget Request Volume 3 Part 1; Page 269,https://www.energy.gov/eere/fuelcells/hydrogen-and-fuel-cell-technologies-office,"Subprogram supports RD&D to enable low-cost hydrogen production, storage, and infrastructure technologies. ","The Hydrogen Technologies subprogram supports RD&D to enable low-cost hydrogen production, storage, and infrastructure technologies. ",71000,,,23667,23667,23667,,,,,,,71000,,,,,35500,35500,
Y,089-0321-0-1-270-0003,2021,Energy & Water,Y,DOE,EERE,Hydrogen and Fuel Cell Technologies,150000,Systems Development & Integration,51000,DOE FY22 Budget Request Volume 3 Part 1; Page 273,https://www.energy.gov/eere/fuelcells/hydrogen-and-fuel-cell-technologies-office,"Subprogram focuses on technology acceleration, including integrating, developing, and demonstrating hydrogen end use to expedite the commercialization of hydrogen and fuel cell systems. Key application include integrating clean energy systems, decarbonizing chemical and industrial processes, and demonstrating heavy-duty transportation applications.","The Systems Development & Integration subprogram focuses on technology acceleration, including integrating, developing, and demonstrating hydrogen end use to expedite the commercialization of hydrogen and fuel cell systems",51000,,,17000,17000,17000,,,,,,,51000,,,,,,25500,25500
Y,089-0321-0-1-270-0003,2021,Energy & Water,Y,DOE,EERE,Hydrogen and Fuel Cell Technologies,150000,"Data, Modeling, and Analysis",3000,DOE FY22 Budget Request Volume 3 Part 1; Page 277,https://www.energy.gov/eere/fuelcells/hydrogen-and-fuel-cell-technologies-office,Performs the analytical research to support the program's R&D direction.,"The Data, Modeling, and Analysis subprogram provides critical information and analyses to prioritize and inform the Hydrogen and Fuel Cell Office's future research and portfolio planning.",3000,,,1000,1000,1000,,,,,,,3000,,,,,3000,,
Y,089-0321-0-1-270-0101,2021,Energy & Water,Y,DOE,EERE,Solar Energy Technologies,280000,Concentrating Solar Power Technologies,60000,DOE FY22 Budget Request Volume 3 Part 1; Page 285,https://www.energy.gov/eere/solar/solar-energy-technologies-office,Subprogram works toward decarbonization of the electric power and industrial sectors by supporting RD&D for use of solar technologies as electricity or for direct use in an industrial process.,The Concentrating Solar Power Technologies subprogram works toward decarbonization of the electric power and industrial sectors by supporting RD&D for use of solar technologies as electricity or for direct use in an industrial process.,60000,,,30000,,30000,,,,,60000,,,,,,,30000,30000,
Y,089-0321-0-1-270-0101,2021,Energy & Water,Y,DOE,EERE,Solar Energy Technologies,280000,Photovoltaic Technologies,72000,DOE FY22 Budget Request Volume 3 Part 1; Page 290,https://www.energy.gov/eere/solar/solar-energy-technologies-office,"R&D subprogram to advance state-of-the-art and emerging PV cells, modules, systems, and their components, spanning work from early-stage solar cell research up to commercialization. ","The Photovoltaic Technologies subprogram focuses on R&D to advance advance state-of-the-art and emerging PV cells, modules, systems, and their components, spanning work from early-stage solar cell research up to commercialization. ",72000,,,72000,,,,,,,72000,,,,,,,36000,,36000
Y,089-0321-0-1-270-0101,2021,Energy & Water,Y,DOE,EERE,Solar Energy Technologies,280000,Systems Integration,53000,DOE FY22 Budget Request Volume 3 Part 1; Page 293,https://www.energy.gov/eere/solar/solar-energy-technologies-office,Focuses on RD&D for technologies to better enable solar to support the US electric power system and addresses the key technical challenges in solar grid integration.,The Systems Integration subprogram focuses on RD&D for technologies to better enable solar to support the US electric power system and addresses the key technical challenges in solar grid integration.,53000,,,53000,,,,,,,53000,,,,,,,17667,17667,17667
Y,089-0321-0-1-270-0101,2021,Energy & Water,Y,DOE,EERE,Solar Energy Technologies,280000,Balance of Systems Soft Cost Reduction,35000,DOE FY22 Budget Request Volume 3 Part 1; Page 297,https://www.energy.gov/eere/solar/solar-energy-technologies-office,"Focuses on reducing non-hardware ""soft-costs"" of solar electricity, including: siting, permitting, inspection, and interconnection requirements. Aims expand access to affordable community solar to every American household by 2025.","The Balance of Systems Soft Cost Reduction subprogram focuses on reducing ""soft costs"" of solar eletricity, including: siting, permitting, inspection, and interconnection requirements.",35000,,,35000,,,,,,,35000,,,,,,,,,35000
Y,089-0321-0-1-270-0101,2021,Energy & Water,Y,DOE,EERE,Solar Energy Technologies,280000,Manufacturing and Competitiveness,60000,DOE FY22 Budget Request Volume 3 Part 1; Page 302,https://www.energy.gov/eere/solar/solar-energy-technologies-office,Supports entrepreneurs and companies increasing domestic content in PV hardware and innovative technologies to increase US competitiveness in solar energy manufacturing,The Manufacturing and Competitiveness subprogram supports entrepreneurs and companies increasing domestic content in PV hardware and innovative technologies to increase US competitiveness in solar energy manufacturing.,60000,,,30000,,30000,,,,,60000,,,,,,,30000,,30000
Y,089-0321-0-1-270-0102,2021,Energy & Water,Y,DOE,EERE,Wind Energy Technologies,110000,Offshore Wind,63200,DOE FY22 Budget Request Volume 3 Part 1; Page 311,https://www.energy.gov/eere/wind/wind-energy-technologies-office,Subprogram to promote the development of U.S. offshore wind resources through R&D and enabling activities aimed at reducing costs and other barriers to offshore wind development.,"The Offshore Wind subprogram promotes the development of U.S. offshore wind research resources through research, technology development, and enabling activities, such as workforce development, all aimed at reducing costs and other barriers to offshore wind development ",63200,,,63200,,,,,,,63200,,,,,,,63200,,
Y,089-0321-0-1-270-0102,2021,Energy & Water,Y,DOE,EERE,Wind Energy Technologies,110000,Land-Based Wind,31800,DOE FY22 Budget Request Volume 3 Part 1; Page 318,https://www.energy.gov/eere/wind/wind-energy-technologies-office,"Aims to reduce the cost of wind energy, support turbine technonology innovations, and develop solutions to siting and environmental concerns associated with land-based wind energy development",The Land-Based Wind subprogram emphasizes efforts to reduce the cost of wind energy and develop solutions to an array of siting and environmental concerns associated with land-based wind energy development confronting the vast majority of the U.S. wind resource. ,31800,,,31800,,,,,,,31800,,,,,,,31800,,
Y,089-0321-0-1-270-0102,2021,Energy & Water,Y,DOE,EERE,Wind Energy Technologies,110000,Distributed Wind,10000,DOE FY22 Budget Request Volume 3 Part 1; Page 324,https://www.energy.gov/eere/wind/wind-energy-technologies-office,Subprogram focuses on achieving breakthroughs in reducing the levelized cost of energy and invests in activities to reduce soft costs of wind energy.,The Distributed Wind subprogram focuses on achieving breakthroughs in reducing the levelized cost of energy (LCOE) and invests in activities to reduce soft costs of wind energy.,10000,,,10000,,,,,,,10000,,,,,,,5000,,5000
Y,089-0321-0-1-270-0102,2021,Energy & Water,Y,DOE,EERE,Wind Energy Technologies,110000,Grid Integration & Analysis,5000,DOE FY22 Budget Request Volume 3 Part 1; Page 327,https://www.energy.gov/eere/wind/wind-energy-technologies-office,"Subprogram to enable cost-effective, cyber-secure, reliable, and resilient operation of the energy system with increasing levels of wind.","The Grid Integration and Analysis subprogram aims to enable cost-effective, cyber-secure, reliable, and resilient operation of the energy system with increasing levels of wind in all regions ",5000,,,5000,,,,,,,5000,,,,,,,,,5000
Y,089-0321-0-1-270-0103,2021,Energy & Water,Y,DOE,EERE,Water Power Technologies,150000,Hydropower Technologies ,41000,DOE FY22 Budget Request Volume 3 Part 1; Page 336,https://www.energy.gov/eere/water/water-power-technologies-office,"Subprogram to support the U.S. hydropower and pumped-storage industry to modernize hydropower technologies, develop new low-impact hydropower, integrate into the elecltric system, and support energy-water systems resilience. Supports the hydropower industry and stakeholders to assess and address climate change impacts, environmental sustainability, and relicensing.","The Hydropower Technologies subprogram aims to  support the U.S. hydropower and pumped-storage industry to modernize hydropower technologies, develop new low-impact hydropower, integrate into the elecltric system, and support energy-water systems resilience.",41000,,,41000,,,,,,,41000,,,,,,,41000,,
Y,089-0321-0-1-270-0103,2021,Energy & Water,Y,DOE,EERE,Water Power Technologies,150000,Marine Energy Technologies ,109000,DOE FY22 Budget Request Volume 3 Part 1; Page 334,https://www.energy.gov/eere/water/water-power-technologies-office,"Subprogram to demonstrate and advance cost-effective marine energy technologies through RD&D on materials and components,  system intergration and  validation, and  reliability.","The Marian Energy Technologies subprogram works to demonstrate that marine energy technologies also have the potential to provide cost-effective energy for emerging at-sea and coastal distributed applications, including power for remote coastal communities with high electricity costs, charging for ocean-based sensors and underwater vehicles, and non-electric uses like desalination.",109000,,,109000,,,,,,,109000,,,,,,,54500,54500,
Y,089-0321-0-1-270-0104,2021,Energy & Water,Y,DOE,EERE,Geothermal Technologies,106000,Enhanced Geothermal Systems ,65000,DOE FY22 Budget Request Volume 3 Part 1; Page 355,https://www.energy.gov/eere/geothermal/geothermal-technologies-office,This subprogram's main focus is to gain an evidence-based understanding of technical challenges surrounding geothermal energy and strengthening the body of EGS knowledge through early-stage R&D.,The Enhanced Geothermal Systems subprogram's  main focus is to gain an evidence-based understanding of technical challenges surrounding geothermal energy and strengthening the body of EGS knowledge.,65000,,,65000,,,,,,,65000,,,,,,,65000,,
Y,089-0321-0-1-270-0104,2021,Energy & Water,Y,DOE,EERE,Geothermal Technologies,106000,Hydrothermal Resources,20000,DOE FY22 Budget Request Volume 3 Part 1; Page 362,https://www.energy.gov/eere/geothermal/geothermal-technologies-office,Subprogram sponsors R&D that can lower cost and risk throughout the lifecycle of a hydrothermal project to bring more hydrothermal power on line. ,"The Hydrothermal Resources subprogram aims to lower costs and risks throughout the lifecycle of a hydrothermal project to bring more hydrothermal power on line: from exploration and resource confirmation, to drilling and field development, to reservoir management over multi-decadal timescales.",20000,,,20000,,,,,,,20000,,,,,,,20000,,
Y,089-0321-0-1-270-0104,2021,Energy & Water,Y,DOE,EERE,Geothermal Technologies,106000,Low Temperature and Coproduced Resources ,15000,DOE FY22 Budget Request Volume 3 Part 1; Page 369,https://www.energy.gov/eere/geothermal/geothermal-technologies-office,Supports targeted R&D on technologies applicable to geothermal resources below 300°F (150°C) as well as resources that can be co-developed with existing infrastructure and other clean energy technologies. ,The Low Temperature and Coproduced Resources subprogram supports targeted research on technologies applicable to geothermal resources below a temperature of 300°F (150°C) as well as geothermal resources.,15000,,,15000,,,,,,,7500,,,,,,7500,7500,7500,
Y,089-0321-0-1-270-0104,2021,Energy & Water,Y,DOE,EERE,Geothermal Technologies,106000,"Data, Modeling, and Analysis ",6000,DOE FY22 Budget Request Volume 3 Part 1; Page 374,https://www.energy.gov/eere/geothermal/geothermal-technologies-office,Inform the direction and prioritization of early-stage R&D through technical assessment of the geothermal sector.,"The goal of the Data, Modeling, and Analysis subprogram is to identify and address barriers to geothermal adoption in the U. S. and validate and assess technical progress across the geothermal sector primarily to inform the direction and prioritization of early-stage R&D. ",6000,,,6000,,,,,,,6000,,,,,,,6000,,
Y,089-0321-0-1-270-0201,2021,Energy & Water,Y,DOE,EERE,Advanced Manufacturing,360000,Materials,80559,DOE FY22 Budget Request Volume 3 Part 1; Page 386,https://www.energy.gov/eere/amo/advanced-manufacturing-office,"This subprogram supports applied research projects  that focus on  domestic availability of materials for energy systems and developing novel materials with improved properties. RD&D will enable a secure and reliable supply chain of critical materials for clean energy, national security, and economic growth. Efforts will include diversification of supply, recycling, more efficient use, and substitution for critical materials (e.g., rare-earth materials) essential to manufacturing zero-emission energy technologies. Opportunities exist to develop and enable manufacturing of advanced materials broadly applicable to energy products including energy conversion materials, materials for extreme or harsh conditions, and nanomaterials.",The Materials subprogram will focus on domestic availability of materials for energy systems and developing novel materials with improved properties and reduced life cycle energy and carbon impacts that will enable decarbonization and a circular economy. ,80559,,,,,80559,,,,16112,16112,16112,16112,,,,16112,,,80559
Y,089-0321-0-1-270-0201,2021,Energy & Water,Y,DOE,EERE,Advanced Manufacturing: ,360000,Manufacturing Innovations,233644,DOE FY22 Budget Request Volume 3 Part 1; Page 389,https://www.energy.gov/eere/amo/advanced-manufacturing-office,"This subprogram supports applied research projects focused on improving  energy efficiency in the  manufacturing processes for existing products including decarbonization, process intensification, process heating using carbon-free energy sources, and high-performance computing for energy related manufacturing challenges. R&D projects explore  opportunities to address major sources of energy consumption and carbon emissions in large energy and carbon intensive industries like steel, chemicals, and cement.  An additional key activity is the development of advanced processes and technologies that can improve utilization of water and the associated energy demands. The Manufacturing Innovations subprogram will support applied research projects, cost-shared with companies and research organizations that focus on generating solutions to specific manufacturing technology challenges, and a limited number of demonstration projects.",The Manufacturing Innovations subprogram  will focus on improving energy efficiency while enabling significant decarbonization of manufacturing processes and operations and advancing new manufacturing approaches and technologies.,233644,,,,,233644,,,,46729,46729,46729,46729,,,,46729,116822,116822,
